,State_Name,Crop_Year,Rainfall
0,Andaman and Nicobar Islands,2021,2916.4280000000017
1,Andhra Pradesh,2021,986.0549999999988
2,Arunachal Pradesh,2021,2417.0310000000013
3,Assam,2021,2124.3490000000006
4,Bihar,2021,1053.8449999999998
5,Chandigarh,2021,591.563
6,Chhattisgarh,2021,1317.6939999999988
7,Dadra and Nagar Haveli,2021,847.6699999999993
8,Goa,2021,3009.2739999999994
9,Gujarat,2021,885.5209999999997
10,Haryana,2021,434.94200000000063
11,Himachal Pradesh,2021,1060.3309999999985
12,Jammu and Kashmir ,2021,1045.2259999999985
13,Jharkhand,2021,913.141
14,Karnataka,2021,3837.6600000000053
15,Kerala,2021,3011.69
16,Madhya Pradesh,2021,1281.715000000001
17,Maharashtra,2021,874.4209999999998
18,Manipur,2021,2250.7270000000035
19,Meghalaya,2021,1020.0409999999989
20,Mizoram,2021,1815.9430000000007
21,Nagaland,2021,1634.871999999998
22,Odisha,2021,1327.2860000000007
23,Puducherry,2021,887.3609999999999
24,Punjab,2021,445.7409999999997
25,Rajasthan,2021,502.5080000000003
26,Sikkim,2021,2479.473000000004
27,Tamil Nadu,2021,824.4779999999993
28,Telangana ,2021,918.6989999999988
29,Tripura,2021,1034.434999999999
30,Uttar Pradesh,2021,692.9780000000006
31,Uttarakhand,2021,1392.2189999999975
32,West Bengal,2021,1410.541999999999
